Fecha,Clics,Impresiones,CTR,Posición
2025-10-28,0,0,,
2025-10-29,0,1,0%,12
2025-10-30,0,0,,
2025-10-31,0,0,,
2025-11-01,0,0,,
2025-11-02,0,0,,
2025-11-03,0,0,,
2025-11-04,0,2,0%,6.5
2025-11-05,1,2,50%,7.5
2025-11-06,0,0,,
2025-11-07,0,0,,
2025-11-08,0,1,0%,12
2025-11-09,0,0,,
2025-11-10,0,1,0%,12
2025-11-11,0,0,,
2025-11-12,0,0,,
2025-11-13,0,1,0%,2
2025-11-14,1,2,50%,2
2025-11-15,3,5,60%,2.4
2025-11-16,0,1,0%,4
2025-11-17,0,0,,
2025-11-18,0,0,,
2025-11-19,0,1,0%,7
2025-11-20,1,1,100%,2
2025-11-21,0,0,,
2025-11-22,0,0,,
2025-11-23,0,0,,
2025-11-24,0,0,,
2025-11-25,1,4,25%,5.5
2025-11-26,1,5,20%,5.2
2025-11-27,0,2,0%,2.5
2025-11-28,0,1,0%,10
2025-11-29,0,3,0%,9
2025-11-30,0,3,0%,7.7
2025-12-01,2,3,66.67%,3
2025-12-02,0,2,0%,4
2025-12-03,0,1,0%,4
2025-12-04,0,1,0%,3
2025-12-05,0,3,0%,5
2025-12-06,0,1,0%,6
2025-12-07,0,1,0%,1
2025-12-08,0,5,0%,6.8
2025-12-09,1,3,33.33%,7.3
2025-12-10,1,2,50%,5.5
2025-12-11,1,2,50%,4
2025-12-12,0,1,0%,3
2025-12-13,0,1,0%,8
2025-12-14,0,1,0%,4
2025-12-15,0,2,0%,6